2002,Jack Nicholson
2002,Adrien Brody
2002,Michael Caine
2002,Daniel Day-Lewis
2002,Leonardo DiCaprio
2003,Sean Penn
2003,Russell Crowe
2003,Tom Cruise
2003,Ben Kingsley
2003,Jude Law
2004,Leonardo DiCaprio
2004,Javier Bardem
2004,Don Cheadle
2004,Johnny Depp
2004,Liam Neeson
2005,Philip Seymour Hoffman
2005,Russell Crowe
2005,Terrence Howard
2005,Heath Ledger
2005,David Strathairn
2006,Forest Whitaker
2006,Leonardo DiCaprio
2006,Leonardo DiCaprio
2006,Peter O'Toole
2006,Will Smith
2007,Daniel Day-Lewis
2007,George Clooney
2007,James McAvoy
2007,Viggo Mortensen
2007,Denzel Washington
2008,Mickey Rourke
2008,Leonardo DiCaprio
2008,Frank Langella
2008,Sean Penn
2008,Brad Pitt
2009,Jeff Bridges
2009,George Clooney
2009,Colin Firth
2009,Morgan Freeman
2009,Tobey Maguire
2010,Colin Firth
2010,Jesse Eisenberg
2010,James Franco
2010,Ryan Gosling
2010,Mark Wahlberg
2011,George Clooney
2011,Leonardo DiCaprio
2011,Michael Fassbender
2011,Ryan Gosling
2011,Brad Pitt
2012,Daniel Day-Lewis
2012,Richard Gere
2012,John Hawkes
2012,Joaquin Phoenix
2012,Denzel Washington
2013,Matthew McConaughey
2013,Chiwetel Ejiofor
2013,Idris Elba
2013,Tom Hanks
2013,Robert Redford
2014,Eddie Redmayne
2014,Steve Carell
2014,Benedict Cumberbatch
2014,Jake Gyllenhaal
2014,David Oyelowo
2015,Leonardo DiCaprio
2015,Bryan Cranston
2015,Michael Fassbender
2015,Eddie Redmayne
2015,Will Smith
2016,Casey Affleck
2016,Joel Edgerton
2016,Andrew Garfield
2016,Viggo Mortensen
2016,Denzel Washington
