2002,Daniel Day-Lewis
2002,Adrien Brody
2002,Nicolas Cage
2002,Michael Caine
2002,Jack Nicholson
2003,Bill Murray
2003,Benicio del Toro
2003,Johnny Depp
2003,Jude Law
2003,Sean Penn
2004,Jamie Foxx
2004,Jim Carrey
2004,Johnny Depp
2004,Leonardo DiCaprio
2004,Gael Garc�a Bernal
2005,Philip Seymour Hoffman
2005,Ralph Fiennes
2005,Heath Ledger
2005,Joaquin Phoenix
2005,David Strathairn
2006,Forest Whitaker
2006,Daniel Craig
2006,Leonardo DiCaprio
2006,Richard Griffiths
2006,Peter O'Toole
2007,Daniel Day-Lewis
2007,George Clooney
2007,James McAvoy
2007,Viggo Mortensen
2007,Ulrich Mühe
2008,Mickey Rourke
2008,Frank Langella
2008,Dev Patel
2008,Sean Penn
2008,Brad Pitt
2009,Colin Firth
2009,Jeff Bridges
2009,George Clooney
2009,Jeremy Renner
2009,Andy Serkis
2010,Colin Firth
2010,Javier Bardem
2010,Jeff Bridges
2010,Jesse Eisenberg
2010,James Franco
2011,Jean Dujardin
2011,George Clooney
2011,Michael Fassbender
2011,Gary Oldman
2011,Brad Pitt
2012,Daniel Day-Lewis
2012,Ben Affleck
2012,Bradley Cooper
2012,Hugh Jackman
2012,Joaquin Phoenix
2013,Chiwetel Ejiofor
2013,Christian Bale
2013,Bruce Dern
2013,Leonardo DiCaprio
2013,Tom Hanks
2014,Eddie Redmayne
2014,Benedict Cumberbatch
2014,Ralph Fiennes
2014,Jake Gyllenhaal
2014,Michael Keaton
2015,Leonardo DiCaprio
2015,Bryan Cranston
2015,Matt Damon
2015,Michael Fassbender
2015,Eddie Redmayne
2016,Casey Affleck
2016,Andrew Garfield
2016,Ryan Gosling
2016,Jake Gyllenhaal
2016,Viggo Mortensen
